"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2018-01-01","956.9","404","684","2958.5","",""
"2018-02-01","690.5","1372","792","2688.5","",""
"2018-03-01","633.23","1602.33","1233","3147.67","",""
"2018-04-01","873","1214.29","1798.33","3631.33","",""
"2018-05-01","1020.68","1820.86","1295.75","4113","",""
"2018-06-01","1705.67","2833.6","1829.33","5921","",""
"2018-07-01","1643.22","3398.33","3485.71","5008.4","",""
"2018-08-01","1855.14","3860.58","2845.3","6175.25","","7083"
"2018-09-01","1645.43","2189.18","2812.5","4095","","729"
"2018-10-01","1829.46","3014.55","3977.5","4963.25","",""
"2018-11-01","1253.67","1470.44","1977","2936.5","",""
"2018-12-01","962.92","1726","1818.17","5289.5","",""
"2019-01-01","748.6","908.25","980.33","2393","",""
"2019-02-01","811.58","1071.25","1140","2812.5","",""
"2019-03-01","1018","1578.17","1488.75","4411.5","",""
"2019-04-01","1097.44","1773.12","3218.67","2137.5","",""
"2019-05-01","1368.53","2429.5","3148.5","3584.25","",""
"2019-06-01","1476.42","2019.5","2545.5","5008.2","",""
"2019-07-01","1936.43","3622.86","4221","4100.75","",""
"2019-08-01","2037.25","3214.92","5395","5528.8","",""
"2019-09-01","1688.41","1418.69","3093.62","4406.2","",""
"2019-10-01","2379.11","2878","3897.25","5291.2","",""
"2019-11-01","1400.32","1378.71","1767.78","3469.8","",""
"2019-12-01","1048.35","1431.12","1574.75","4056.67","",""
"2020-01-01","645.87","1393.33","3352.67","3429","",""
"2020-02-01","911.44","1399.83","3073","2627.33","",""
"2020-03-01","1228.5","2274.71","2366","3441.75","",""
"2020-04-01","1398.22","1091.67","1769.5","2343.75","",""
"2020-05-01","1230.27","1101","2543.5","3347.5","",""
"2020-06-01","1961.5","2315","2683.71","4659","",""
"2020-07-01","2392.08","2899.73","4640.57","5926.25","",""
"2020-08-01","2690","3772.2","5101","6132","",""
"2020-09-01","2443.64","3222.89","3791.14","5761","",""
"2020-10-01","2549.09","3698.15","5232.4","6674.75","",""
"2020-11-01","1171.95","1402.44","2848.2","3733.5","",""
"2020-12-01","1712.92","1196.5","2774.75","4080","",""
"2021-01-01","1198.5","2786.33","1627.67","3293.67","",""
"2021-02-01","1343.82","2575.8","1591.67","4193","",""
"2021-03-01","1789.31","3713.83","1678.33","6078","",""
"2021-04-01","1722.93","3501.83","2463.75","4222.67","",""
"2021-05-01","2099.53","3446","2665.8","4511","",""
"2021-06-01","2643.88","3365.78","4582.86","7221.67","",""
"2021-07-01","3074","4211.6","7291.6","7035.25","",""
"2021-08-01","3377.39","4862.91","6166.6","5952.5","",""
"2021-09-01","2726","4258.82","5484.83","5255.6","",""
"2021-10-01","3638.79","5350.17","7544.67","9476.2","",""
"2021-11-01","2093.09","2246.91","3436","3472.8","",""
"2021-12-01","1737.45","2288.1","2415","4193","",""
"2022-01-01","950.72","1919.57","973","4828","",""
