"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2018-01-01","833.2","1625.2","454.14","1347.5","1924.67","542"
"2018-02-01","818.43","875","2849.67","598.33","","19788"
"2018-03-01","916","1544.83","2001.12","3389.55","1649.33",""
"2018-04-01","1052.17","1111.83","901.12","2109.58","4099.29",""
"2018-05-01","1245.44","1371.68","1450.12","3341.91","3651.71","5570.67"
"2018-06-01","1981.4","2763.32","2763.6","4946.96","4172.76","7887.33"
"2018-07-01","2985.33","4159.21","4897.74","7047.54","13604","13550.62"
"2018-08-01","3253.69","4769.42","5691","7477.25","10995.54","12414.11"
"2018-09-01","2188.25","2819.57","2733.56","4951.52","5958.36","5980.38"
"2018-10-01","2137.82","2592.78","2709.46","3524.56","4095.53","3527.71"
"2018-11-01","1585.48","1661.52","1801.26","1585.28","5251.17","4428"
"2018-12-01","1690.14","1380.75","3436.42","3527.82","5253.25","3240"
"2019-01-01","1217.96","1485.89","4017.5","301","2656.75","1413"
"2019-02-01","918.9","845.56","1404","","1011","1476"
"2019-03-01","1304.3","952.64","1068.14","811","1621.5","2152"
"2019-04-01","1154.94","1535.94","2265.86","2372.5","4094","5780"
"2019-05-01","1386.78","1756.88","2181.86","3534.88","3553.62","2752.67"
"2019-06-01","2030.04","2416.06","3168.19","6425.72","7773.94","7839.89"
"2019-07-01","2894.36","3830.98","5207.28","7837.67","12222.53","15651.4"
"2019-08-01","3154.72","4711.89","4710.94","8849.48","11540.18","8761.4"
"2019-09-01","1957.9","2360.41","2660.09","3613.15","3308.47","4410"
"2019-10-01","1833.04","2753.36","3388.39","4390.17","4744.43","4777.12"
"2019-11-01","1169.51","1430.69","2507.42","1741.94","3885.71","4726"
"2019-12-01","1476.94","1290.26","1458.08","1424.55","4604.4","1456"
"2020-01-01","1607.05","2347.29","1634.2","1821.17","9262","754"
"2020-02-01","1361.48","2021.76","1819.67","1410.4","",""
"2020-03-01","821.81","2034.45","1775.29","1711","","624"
"2020-04-01","1335.61","2682.2","2624.2","4817.8","1400",""
"2020-05-01","1539.52","1926.3","2683.71","3591","2148","1464"
"2020-06-01","2378.18","3639.09","4080.53","5207.45","5541.1","4870.8"
