"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2018-01-01","1010.16","1262","1111.25","882","",""
"2018-02-01","1389.3","1873.12","1063.17","131","",""
"2018-03-01","972.35","1728.56","1994.91","2558","4023.33","529"
"2018-04-01","1036.78","1551.77","2060.79","1372.67","9054","2082"
"2018-05-01","1739.62","2101.7","1767.1","2611.14","3202.5",""
"2018-06-01","2220.49","2908.54","3113.62","4321.67","5040.71","5162.5"
"2018-07-01","3180.53","4036.21","4617.29","5520.45","5897.12","9186.25"
"2018-08-01","3150.95","4517.17","5041.41","6697.74","5457.17","5459"
"2018-09-01","2491.91","3038.14","3079.32","3408.72","4399.25","3426.25"
"2018-10-01","2522.72","3078.32","3139.18","5379.43","3047.12","5729.5"
"2018-11-01","1819.76","2288.07","2185.35","1571.8","2476.4",""
"2018-12-01","1598.68","2354.56","1675.5","2343","2247.67",""
"2019-01-01","1456.17","1285.3","1517.5","1236","",""
"2019-02-01","1181.56","1385.17","1173.8","","2038",""
"2019-03-01","1171.43","2129.75","1564.12","534","",""
"2019-04-01","1306.5","1365.8","1271.2","1328","3880","2886"
"2019-05-01","1533.47","1837.56","2061.27","2702.9","3613.33","962"
"2019-06-01","2229.68","2875.8","2971.67","3922.34","4265.38","8885.33"
"2019-07-01","2965.17","3600.09","4882.92","6819.97","6285.71","5647.67"
"2019-08-01","3504.26","5177.83","5343.63","6478.58","8304.33","12246"
"2019-09-01","1986.1","2254.36","2599.09","4127.35","4454.3","3075.67"
"2019-10-01","2158.66","2605.91","2941.22","4881.39","2277.33","9891"
"2019-11-01","1454.18","998.13","1911.73","1510.22","705","2497.5"
"2019-12-01","1365.62","1524.12","1382.4","2648","12927",""
"2020-01-01","1414.83","732.8","793.83","645.67","12927",""
"2020-02-01","1537.24","1273","632.88","2113.5","12093",""
"2020-03-01","1950.43","1057.43","3279.75","2603.6","7772.5",""
"2020-04-01","1789.03","2144.14","3089.67","1778.5","4237",""
"2020-05-01","1852.55","1572.93","2056.12","1499.54","4983",""
"2020-06-01","2669.34","3241.5","3219.42","3923.76","3990.4","12558"
"2020-07-01","3322.4","4919.34","5204.55","6207.32","5346.5","3626"
"2020-08-01","4513.53","6417.47","6236.44","6373.23","7499.29","1460"
"2020-09-01","3632.48","5141.9","4596.73","4691.41","8400.67",""
"2020-10-01","3648.39","3983.3","5611.52","5277.69","5288","10750"
"2020-11-01","2415.88","2913.5","3737","2241.33","5125.8","841"
"2020-12-01","3132.18","2571","2965.33","4827.44","9786.67","4638"
"2021-01-01","2529.95","2787.17","1504.75","3654.33","8321.33",""
"2021-02-01","2458.68","2243.31","2666.33","4435.86","6331",""
"2021-03-01","2563.82","3420.67","2456","5001","8471.33",""
"2021-04-01","2530.61","4162.94","2070.14","2801.22","5914.75",""
"2021-05-01","3029.78","4088.39","3215.8","5290.09","3558.5",""
"2021-06-01","3668.33","5046.57","6084.59","5041.77","4244.8","8724"
"2021-07-01","4373.41","6530.91","7251.69","7092.44","9224.4",""
"2021-08-01","4892.48","6696.17","6581.69","7524.67","8588.43","11357"
"2021-09-01","4057.59","4732","4889.78","4926.2","6552","7101.5"
"2021-10-01","4495.19","5761.06","6277.5","6000.05","5263.5","10559"
"2021-11-01","2487.19","2150.88","1982.67","3795.73","3516",""
"2021-12-01","2551.18","2268.06","3186.43","4673.56","5615.5","4296"
"2022-01-01","2272.87","2303.67","1541.12","2883.12","335","1421"
"2022-02-01","2072.77","2500.82","3623.8","3954.67","2373",""
"2022-03-01","2451.91","3128.3","2084","5771.8","2005.5",""
"2022-04-01","2219.56","3074.52","3369.07","4498.2","7670",""
"2022-05-01","2635.34","3442.09","2259.14","4762.62","3951.75",""
"2022-06-01","3406.13","4921.3","5529.73","6447.36","8242.33","6111"
"2022-07-01","4861.18","5873.27","6798.81","8135.5","7641.57","2458"
"2022-08-01","5122.77","6688.02","7854","7923.64","8132.14","17175"
"2022-09-01","3808.47","4588.24","4758.59","5766.5","9495",""
"2022-10-01","4117.77","5320.68","6131.32","6904.41","7480.67","2541"
"2022-11-01","2229.71","2375.24","2628.38","4386","2754.75",""
"2022-12-01","2215.28","2884.95","3124.07","4859","3201.67",""
"2023-01-01","1659.91","2199.29","3081.86","4481.33","",""
"2023-02-01","1697.1","2331.57","2273.07","3879.67","",""
"2023-03-01","1752.62","2874.33","2170","5903.2","4105",""
"2023-04-01","2166.08","3255.92","4323.37","4991.62","6981.5",""
"2023-05-01","2464.78","3174.16","4351.17","5936.75","7551.5",""
"2023-06-01","3345.12","4767.86","6347.18","7208.21","5616.8",""
"2023-07-01","4804.09","6559.02","7623.06","8914.74","5838.14","1650.5"
"2023-08-01","5328.97","7108.69","8594.05","7800.04","5830.5","5356.5"
"2023-09-01","3776.87","4619.19","4907.37","5936.68","5779.29","7364"
"2023-10-01","4354.24","5836.45","6163.92","6915.1","9366.62","5446.67"
"2023-11-01","1802.62","2622.32","2720.87","4010.58","5176.75",""
"2023-12-01","1929.38","2837.97","2800.63","2433.27","4567",""
"2024-01-01","1375.14","2642.06","1375.22","1631.33","5091.67",""
"2024-02-01","2082.61","1913.95","3476.77","1868.25","10536.33","3158"
"2024-03-01","2333.82","2158.54","4350.15","2386.5","15716.5",""
"2024-04-01","1824.5","1988.79","3949.62","4640.14","12796.33","7813"
"2024-05-01","2647.34","2887.61","3715.04","5337.82","4804.5","7694"
"2024-06-01","3551.49","5276.2","5641","6635.55","8057.43","10355"
"2024-07-01","5192.25","7042.94","8518.16","9068.7","8022","18440"
"2024-08-01","5222.77","7458.66","9461.71","8936.1","8706.27","38322.5"
"2024-09-01","4145.86","4826.52","5245.62","6162.78","5892.25","9276"
"2024-10-01","4498.96","6183.48","6311.1","7200.62","7056.44","11810.67"
"2024-11-01","2086.51","2870.3","3375.5","3553.33","5672","13313"
"2024-12-01","2285.83","3153.65","2411.19","3186.5","11159","6126"
"2025-01-01","2050.67","2054.5","1689.71","1713.4","11401","2383"
"2025-02-01","2380.8","2183.96","2972.45","2069","13202.67","6120"
"2025-03-01","2132","2548.68","3767.21","2342","12097.33","2929"
"2025-04-01","2475.82","2947.64","3472.18","5268.55","5038","4353"
"2025-05-01","2722.1","3525.52","4340.43","5487.94","6041.9","7161"
"2025-06-01","3774.97","4851.44","6191.02","7832.88","11139.62","21954"
"2025-07-01","5551.95","6358","9089.77","11151.13","12136.23","17770"
"2025-08-01","5702.63","7666.35","9524.76","10195.33","10887.31","28345"
"2025-09-01","4005.92","4577.58","5867.49","6359.2","7842.1","14537"
"2025-10-01","4333.73","5698.93","6420.79","8441.79","8090.42","14173"
"2025-11-01","2865.06","2563.24","3673.38","5011.21","5150.88","12519"
"2025-12-01","2445.19","2249.54","4256.06","3198.3","9766.8","13183"
"2026-01-01","1662.3","1411.62","1975.33","2926.67","7625","6691"
"2026-02-01","1441.75","2238.47","2089","1715.33","5870","8011"
"2026-03-01","1914.62","2594.24","2078.7","2030.5","6085.5","6537"
"2026-04-01","2158.85","2298.42","3315.42","3534.5","4504.75","12438"
